ticker,model,regime,n,MAE_price,RMSE_price,MAE_return,RMSE_return,Directional_Accuracy
XLK,RandomWalk,all,2620,0.7289370063607019,1.1807505105026208,0.010568657528274631,0.015392749441405592,0.48830072880705794
XLK,RandomWalk,high,602,0.5137756322309425,0.8656053883707904,0.011506391373057132,0.018477452876697477,0.46243739565943237
XLK,RandomWalk,low,697,0.975026093733362,1.565520625652518,0.009097137261457833,0.0125670056033217,0.4992764109985528
XLK,LinearRegression,all,2620,0.7376274403540032,1.19879916225021,0.01069636974810273,0.015582552619353584,0.5132336018411968
XLK,LinearRegression,high,602,0.5193027853321631,0.8788697179543525,0.011631950070181087,0.018487844976663437,0.5108514190317195
XLK,LinearRegression,low,697,0.9812344658779188,1.5861603406156246,0.009136259232101101,0.01274831027175302,0.5340086830680174
XLK,Ridge,all,2620,0.7219163484748099,1.1781406099586944,0.010475435398891448,0.0153588709697168,0.5584963559647104
XLK,Ridge,high,602,0.5077147918854383,0.8599695678090387,0.011389644807541541,0.01837381956391818,0.5492487479131887
XLK,Ridge,low,697,0.9607727009820209,1.5632209422945649,0.0089532648254594,0.012567412769961431,0.597684515195369
XLK,Lasso,all,2620,0.7226788358348516,1.1788040120169536,0.010492742269124888,0.015392972770581817,0.5611814345991561
XLK,Lasso,high,602,0.5106392064208204,0.8639888042868902,0.011456759151799964,0.018490184505131207,0.5525876460767947
XLK,Lasso,low,697,0.9608100570504116,1.5631628861858273,0.008952945363844163,0.012566495871354645,0.597684515195369
XLK,AR1,all,2624,0.7232407871140839,1.1792879809641812,0.01049241921492484,0.015243751425108037,0.5457679050172348
XLK,AR1,high,604,0.4984431542173729,0.8350212412441971,0.011217413673600412,0.017682637105805622,0.5391014975041597
XLK,AR1,low,697,0.9646018109354239,1.5680793884817394,0.008998350125057952,0.012589809537035156,0.573082489146165
XLV,RandomWalk,all,2620,0.7512013879441123,1.0744857030573123,0.007252846572795567,0.01046028789137735,0.4944423150632426
XLV,RandomWalk,high,602,0.8128856963097455,1.2332398510582165,0.009671463487782287,0.014687606834823702,0.4557595993322204
XLV,RandomWalk,low,697,0.7266937102614721,1.01655362812833,0.005817669472504696,0.007673061586494504,0.4862914862914863
XLV,LinearRegression,all,2620,0.7658205351218375,1.0953400589310656,0.007400032936909772,0.010665682382805488,0.5024913760061326
XLV,LinearRegression,high,602,0.8249604762861807,1.2513256269838289,0.009834076622519986,0.014901255289486333,0.5008347245409015
XLV,LinearRegression,low,697,0.7393407087716556,1.0272338579799067,0.005899317404000532,0.0077482302862822375,0.5036075036075036
XLV,Ridge,all,2620,0.7516338860925311,1.0757364229969513,0.007251730826324382,0.01046376825540572,0.504024530471445
XLV,Ridge,high,602,0.8123932662227301,1.2325926485176544,0.009665058606263432,0.014678064921000688,0.49081803005008345
XLV,Ridge,low,697,0.7308466639365262,1.0191714630612687,0.005841313618903728,0.00767921696568244,0.49206349206349204
XLV,Lasso,all,2620,0.7521016103072412,1.0765644863057426,0.00725706661729999,0.010477433477570689,0.5067075507857417
XLV,Lasso,high,602,0.8142648962274383,1.2357068937325644,0.009687411986880789,0.014719934701911823,0.4941569282136895
XLV,Lasso,low,697,0.7308501787776831,1.019198882504898,0.005841403066109987,0.00767924924742552,0.49206349206349204
XLV,AR1,all,2624,0.7531335342260157,1.07570811861442,0.007274593023110856,0.010441015765020855,0.5059318790662074
XLV,AR1,high,604,0.8061889922773684,1.215531852073477,0.009610552125280603,0.01446039884712772,0.49916805324459235
XLV,AR1,low,697,0.7317276927669728,1.023023339069394,0.005842642575042987,0.007701795341750579,0.5007215007215007
XLE,RandomWalk,all,2620,0.35385644854480075,0.500866308721995,0.01259407827932099,0.018732065557413993,0.5038343558282209
XLE,RandomWalk,high,602,0.32836707010617683,0.461419076618197,0.01576007385885844,0.025697572989046704,0.47
XLE,RandomWalk,low,697,0.3687365544235689,0.5120433059177527,0.009431331049359145,0.012329658655354188,0.5338129496402878
XLE,LinearRegression,all,2620,0.3635178580395793,0.5155436149316317,0.013027667707017864,0.019751773409944814,0.49118098159509205
XLE,LinearRegression,high,602,0.351801020639681,0.5056229088539415,0.017031644466609572,0.028428399926899214,0.46
XLE,LinearRegression,low,697,0.3768814033630543,0.5220452446005599,0.009674423663494709,0.012650087792564324,0.4719424460431655
XLE,Ridge,all,2620,0.3538956759531076,0.5021590012008372,0.012614474313557764,0.018800988746193736,0.5069018404907976
XLE,Ridge,high,602,0.3306120010650787,0.4643805942390496,0.015898967707325858,0.025862606661551685,0.4666666666666667
XLE,Ridge,low,697,0.36858750556850234,0.5135963383827067,0.009456748513658422,0.012406575056679588,0.5035971223021583
XLE,Lasso,all,2620,0.35364782432372727,0.5017435319982939,0.012601050246630552,0.01877216464167903,0.5095858895705522
XLE,Lasso,high,602,0.329467413688108,0.4625208232001167,0.015830718135908344,0.025758143206362816,0.4716666666666667
XLE,Lasso,low,697,0.36823759944485485,0.513350870637541,0.00944535312071146,0.012396574383276038,0.5064748201438849
XLE,AR1,all,2624,0.35532558780320866,0.5051143019087944,0.012683294210478056,0.01898647157249759,0.5088055130168453
XLE,AR1,high,604,0.3334073685422024,0.4752001996770629,0.016018385072485306,0.026256431327067585,0.4750830564784053
XLE,AR1,low,697,0.36843559522707564,0.5148584727880897,0.009450636202599854,0.012422074657414814,0.49640287769784175
XLF,RandomWalk,all,2620,0.2724779846104047,0.3999579783262801,0.009205098766690444,0.013947877729416306,0.48861443458124276
XLF,RandomWalk,high,602,0.2777791514349142,0.43439173953931026,0.012010461406670609,0.019922832066521075,0.4688026981450253
XLF,RandomWalk,low,697,0.2733758600746713,0.38430487617971654,0.006977421000162045,0.009261042310954714,0.5145772594752187
XLF,LinearRegression,all,2620,0.2789207941563078,0.4111972888984995,0.009428617957032578,0.014383213212706194,0.495175607873408
XLF,LinearRegression,high,602,0.29223388402707656,0.4638573534984211,0.01251012848370052,0.02086358732508857,0.5008431703204047
XLF,LinearRegression,low,697,0.27805439642717306,0.38958124732884464,0.007135164336034605,0.009424756044355713,0.4912536443148688
XLF,Ridge,all,2620,0.2720382043099181,0.40026281578804146,0.00919262218821325,0.013941735312014404,0.5233500578927055
XLF,Ridge,high,602,0.2775661097748736,0.4338466854241795,0.011998802965328056,0.019882681254794823,0.5160202360876898
XLF,Ridge,low,697,0.2745215201947874,0.3859214421587163,0.0070153422131151,0.009298065809104727,0.5131195335276968
XLF,Lasso,all,2620,0.2722186934410828,0.40061582533335327,0.009202678779690292,0.013973752395493937,0.5171748359706677
XLF,Lasso,high,602,0.27809465204618766,0.4348043626311008,0.012035770664751495,0.0199669581468018,0.4924114671163575
XLF,Lasso,low,697,0.27450896068630454,0.3859492391992528,0.007014037836545689,0.00929682436590006,0.5145772594752187
XLF,AR1,all,2624,0.2727811412263488,0.4021432301981419,0.00921598102283287,0.01398284547518473,0.5159922928709055
XLF,AR1,high,604,0.2777167517960942,0.4379982233348924,0.011973491689861194,0.019864994817388255,0.5025210084033613
XLF,AR1,low,697,0.2749105195239899,0.3854584809046787,0.007026838003400265,0.009297070025141324,0.5014577259475219
SPY,RandomWalk,all,2620,2.67076205770478,4.147925713045625,0.007295363893264397,0.011277172284292973,0.49196633511859217
SPY,RandomWalk,high,602,2.5270614877491693,4.190303759650204,0.009170295725987897,0.01536490125963465,0.4716666666666667
SPY,RandomWalk,low,697,2.7507138135956555,4.102064579572624,0.005362767168893381,0.007352228328252781,0.4956896551724138
SPY,LinearRegression,all,2620,2.7278036722259227,4.285398621767494,0.007448999169558902,0.011622202459944102,0.5095638867635807
SPY,LinearRegression,high,602,2.6300424128685274,4.521167814992883,0.00946368729578972,0.016055195978235962,0.49166666666666664
SPY,LinearRegression,low,697,2.795891661671667,4.18487764737256,0.005436229297740377,0.0074707579214697084,0.5287356321839081
SPY,Ridge,all,2620,2.652735287936681,4.14530593136354,0.007252758224827163,0.011268537750562998,0.5497322111706198
SPY,Ridge,high,602,2.514622199273342,4.180590240771992,0.0091333762732998,0.015340286037292476,0.5316666666666666
SPY,Ridge,low,697,2.7348221632758296,4.113811049769487,0.005328518171773356,0.007372183084086941,0.5488505747126436
SPY,Lasso,all,2620,2.6537581597629862,4.147471921751674,0.007257408390291187,0.011285206518785411,0.5512624330527927
SPY,Lasso,high,602,2.519636262470383,4.189178325765419,0.009154507677314324,0.015389904544065587,0.5316666666666666
SPY,Lasso,low,697,2.734795232647452,4.114047112435088,0.005328423010078296,0.007372713990906059,0.5488505747126436
SPY,AR1,all,2624,2.6585455033296777,4.158682853925423,0.007262053013269624,0.011246736861009427,0.5286478227654698
SPY,AR1,high,604,2.4809155865216077,4.142707494570938,0.009030405286378952,0.015101284043391889,0.5166112956810631
SPY,AR1,low,697,2.759515425765886,4.1348530847456315,0.005372456428386374,0.007402224399332534,0.5301724137931034
